Entity,Code,Year,Carbon dioxide emissions from transport
Hungary,HUN,2015,11.93
Hungary,HUN,2016,11.96
Hungary,HUN,2017,12.73
Hungary,HUN,2018,13.52
Hungary,HUN,2019,14.34
Hungary,HUN,2020,12.27
Iceland,ISL,2000,0.63
Iceland,ISL,2001,0.64
Iceland,ISL,2002,0.64
Iceland,ISL,2003,0.64
Iceland,ISL,2004,0.67
Iceland,ISL,2005,0.67
Iceland,ISL,2006,0.9
Iceland,ISL,2007,0.97
Iceland,ISL,2008,0.91
Iceland,ISL,2009,0.89
Iceland,ISL,2010,0.85
Iceland,ISL,2011,0.82
Iceland,ISL,2012,0.8
Iceland,ISL,2013,0.82
Iceland,ISL,2014,0.82
Iceland,ISL,2015,0.85
Iceland,ISL,2016,0.93
Iceland,ISL,2017,0.98
Iceland,ISL,2018,1.02
Iceland,ISL,2019,1.01
Iceland,ISL,2020,0.85
India,IND,2000,95.09
India,IND,2001,94.92
India,IND,2002,97.74
India,IND,2003,99.53
India,IND,2004,108.05
India,IND,2005,115.4
India,IND,2006,120.65
India,IND,2007,142.98
India,IND,2008,163.21
India,IND,2009,178.71
India,IND,2010,192.92
India,IND,2011,209.29
India,IND,2012,221.52
India,IND,2013,226.26
India,IND,2014,235.75
India,IND,2015,257.75
India,IND,2016,269.39
India,IND,2017,291.23
India,IND,2018,305.33
India,IND,2019,307.86
India,IND,2020,269.54998
Indonesia,IDN,2000,62.69
Indonesia,IDN,2001,66.75
Indonesia,IDN,2002,67.99
Indonesia,IDN,2003,69.27
Indonesia,IDN,2004,70.83
Indonesia,IDN,2005,69.84
Indonesia,IDN,2006,66.29
Indonesia,IDN,2007,67.81
Indonesia,IDN,2008,72.07
Indonesia,IDN,2009,81.68
Indonesia,IDN,2010,89.11
Indonesia,IDN,2011,108.5
Indonesia,IDN,2012,129.61999
Indonesia,IDN,2013,136.12
Indonesia,IDN,2014,136.59
Indonesia,IDN,2015,132.03
Indonesia,IDN,2016,128.10001
Indonesia,IDN,2017,135.04
Indonesia,IDN,2018,150.99
Indonesia,IDN,2019,149.41
Indonesia,IDN,2020,126.42
Iran,IRN,2000,76.49
Iran,IRN,2001,80.31
Iran,IRN,2002,86.57
Iran,IRN,2003,91.43
Iran,IRN,2004,96.96
Iran,IRN,2005,104.93
Iran,IRN,2006,111.14
Iran,IRN,2007,110.55
Iran,IRN,2008,115.23
Iran,IRN,2009,125.21
Iran,IRN,2010,116.75
Iran,IRN,2011,116.94
Iran,IRN,2012,123.77
